FORMAT  w tck tms tdi tdo 
R100    w  0   0   0   0   ; // Wait
R1      w  0   0   0   X   ;
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ;
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ;
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ;
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ;
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // JTAG_CMD: jtag_test_req          
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // Run-Test-Idle  --> Run-Test-Idle 
R1      w  1   0   0   X   ;
R1      w  0   1   0   X   ; // Run-Test-Idle  --> Select-DR-Scan
R1      w  1   1   0   X   ;
R1      w  0   1   0   X   ; // Select-DR-Scan --> Select-IR-Scan
R1      w  1   1   0   X   ;
R1      w  0   0   0   X   ; // Select-IR-Scan --> Capture-IR    
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // Capture-IR     --> Shift-IR      
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // IR[0]      
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // IR[1]      
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // IR[2]      
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // IR[3]      
R1      w  1   0   0   X   ;
R1      w  0   0   1   X   ; // IR[4]      
R1      w  1   0   1   X   ;
R1      w  0   1   1   X   ; // IR[5]      
R1      w  1   1   1   X   ;
R1      w  0   1   0   X   ; // Exit1-IR       --> Update-IR     
R1      w  1   1   0   X   ;
R1      w  0   0   0   X   ; // Update-IR      --> Run-Test-Idle 
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // Run-Test-Idle  --> Run-Test-Idle 
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ;
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR_SEND  : 0000_0000           
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // Run-Test-Idle  --> Run-Test-Idle 
R1      w  1   0   0   X   ;
R1      w  0   1   0   X   ; // Run-Test-Idle  --> Select-DR-Scan
R1      w  1   1   0   X   ;
R1      w  0   0   0   X   ; // Select-DR-Scan --> Capture-DR    
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // Capture-DR     --> Shift-DR      
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[31]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[30]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[29]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[28]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[27]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[26]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[25]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[24]
R1      w  1   0   0   X   ;
R1      w  0   0   0   X   ; // DR[23]
